initial_alias,converted_alias,name,description,namespace
ENSMUSG00000033774,ENSMUSG00000033774,Npbwr1,neuropeptides B/W receptor 1 [Source:MGI Symbol;Acc:MGI:891989],"ARRAYEXPRESS,ENSG"
ENSMUSG00000025907,ENSMUSG00000025907,Rb1cc1,RB1-inducible coiled-coil 1 [Source:MGI Symbol;Acc:MGI:1341850],"ARRAYEXPRESS,ENSG"
ENSMUSG00000090031,ENSMUSG00000090031,4732440D04Rik,RIKEN cDNA 4732440D04 gene [Source:MGI Symbol;Acc:MGI:3604103],"ARRAYEXPRESS,ENSG"
ENSMUSG00000103355,ENSMUSG00000103355,Gm2147,predicted gene 2147 [Source:MGI Symbol;Acc:MGI:3780316],"ARRAYEXPRESS,ENSG"
ENSMUSG00000103845,ENSMUSG00000103845,Gm19026,"predicted gene, 19026 [Source:MGI Symbol;Acc:MGI:5011211]","ARRAYEXPRESS,ENSG"
ENSMUSG00000033740,ENSMUSG00000033740,St18,suppression of tumorigenicity 18 [Source:MGI Symbol;Acc:MGI:2446700],"ARRAYEXPRESS,ENSG"
ENSMUSG00000103329,ENSMUSG00000103329,Gm42492,predicted gene 42492 [Source:MGI Symbol;Acc:MGI:5662629],"ARRAYEXPRESS,ENSG"
ENSMUSG00000102135,ENSMUSG00000102135,Gm37108,"predicted gene, 37108 [Source:MGI Symbol;Acc:MGI:5610336]","ARRAYEXPRESS,ENSG"
ENSMUSG00000051285,ENSMUSG00000051285,Pcmtd1,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1 [Source:MGI Symbol;Acc:MGI:2441773],"ARRAYEXPRESS,ENSG"
ENSMUSG00000098201,ENSMUSG00000098201,Gm26983,"predicted gene, 26983 [Source:MGI Symbol;Acc:MGI:5504098]","ARRAYEXPRESS,ENSG"
ENSMUSG00000103509,ENSMUSG00000103509,Gm38372,"predicted gene, 38372 [Source:MGI Symbol;Acc:MGI:5611600]","ARRAYEXPRESS,ENSG"
ENSMUSG00000048538,ENSMUSG00000048538,Gm9826,predicted gene 9826 [Source:MGI Symbol;Acc:MGI:3642725],"ARRAYEXPRESS,ENSG"
ENSMUSG00000097797,ENSMUSG00000097797,Gm26901,"predicted gene, 26901 [Source:MGI Symbol;Acc:MGI:5477395]","ARRAYEXPRESS,ENSG"
ENSMUSG00000103067,ENSMUSG00000103067,Gm30414,"predicted gene, 30414 [Source:MGI Symbol;Acc:MGI:5589573]","ARRAYEXPRESS,ENSG"
ENSMUSG00000104226,ENSMUSG00000104226,Gm7470,predicted gene 7470 [Source:MGI Symbol;Acc:MGI:3645544],"ARRAYEXPRESS,ENSG"
ENSMUSG00000025909,ENSMUSG00000025909,Sntg1,"syntrophin, gamma 1 [Source:MGI Symbol;Acc:MGI:1918346]","ARRAYEXPRESS,ENSG"
ENSMUSG00000084353,ENSMUSG00000084353,Gm15452,predicted gene 15452 [Source:MGI Symbol;Acc:MGI:3768636],"ARRAYEXPRESS,ENSG"
ENSMUSG00000103933,ENSMUSG00000103933,Gm36964,"predicted gene, 36964 [Source:MGI Symbol;Acc:MGI:5610192]","ARRAYEXPRESS,ENSG"
ENSMUSG00000101571,ENSMUSG00000101571,Gm6187,predicted gene 6187 [Source:MGI Symbol;Acc:MGI:3648954],"ARRAYEXPRESS,ENSG"
ENSMUSG00000103411,ENSMUSG00000103411,Gm18300,"predicted gene, 18300 [Source:MGI Symbol;Acc:MGI:5010485]","ARRAYEXPRESS,ENSG"
ENSMUSG00000061024,ENSMUSG00000061024,Rrs1,ribosome biogenesis regulator 1 [Source:MGI Symbol;Acc:MGI:1929721],"ARRAYEXPRESS,ENSG"
ENSMUSG00000025911,ENSMUSG00000025911,Adhfe1,"alcohol dehydrogenase, iron containing, 1 [Source:MGI Symbol;Acc:MGI:1923437]","ARRAYEXPRESS,ENSG"
ENSMUSG00000079671,ENSMUSG00000079671,2610203C22Rik,RIKEN cDNA 2610203C22 gene [Source:MGI Symbol;Acc:MGI:1919731],"ARRAYEXPRESS,ENSG"
ENSMUSG00000081441,ENSMUSG00000081441,Gm6161,predicted gene 6161 [Source:MGI Symbol;Acc:MGI:3644104],"ARRAYEXPRESS,ENSG"
ENSMUSG00000067879,ENSMUSG00000067879,Vxn,vexin [Source:MGI Symbol;Acc:MGI:1924232],"ARRAYEXPRESS,ENSG"
ENSMUSG00000025912,ENSMUSG00000025912,Mybl1,myeloblastosis oncogene-like 1 [Source:MGI Symbol;Acc:MGI:99925],"ARRAYEXPRESS,ENSG"
ENSMUSG00000045210,ENSMUSG00000045210,Vcpip1,valosin containing protein (p97)/p47 complex interacting protein 1 [Source:MGI Symbol;Acc:MGI:1917925],"ARRAYEXPRESS,ENSG"
ENSMUSG00000097893,ENSMUSG00000097893,1700034P13Rik,RIKEN cDNA 1700034P13 gene [Source:MGI Symbol;Acc:MGI:1920581],"ARRAYEXPRESS,ENSG"
ENSMUSG00000025915,ENSMUSG00000025915,Sgk3,serum/glucocorticoid regulated kinase 3 [Source:MGI Symbol;Acc:MGI:2182368],"ARRAYEXPRESS,ENSG"
ENSMUSG00000046334,ENSMUSG00000046334,Gm6195,predicted pseudogene 6195 [Source:MGI Symbol;Acc:MGI:3647661],"ARRAYEXPRESS,ENSG"
ENSMUSG00000046101,ENSMUSG00000046101,Mcmdc2,minichromosome maintenance domain containing 2 [Source:MGI Symbol;Acc:MGI:3045334],"ARRAYEXPRESS,ENSG"
ENSMUSG00000098234,ENSMUSG00000098234,Snhg6,small nucleolar RNA host gene 6 [Source:MGI Symbol;Acc:MGI:1921074],"ARRAYEXPRESS,ENSG"
ENSMUSG00000093178,ENSMUSG00000093178,Snord87,"small nucleolar RNA, C/D box 87 [Source:MGI Symbol;Acc:MGI:2387894]","ARRAYEXPRESS,ENSG"
ENSMUSG00000099032,ENSMUSG00000099032,Tcf24,transcription factor 24 [Source:MGI Symbol;Acc:MGI:3780500],"ARRAYEXPRESS,ENSG"
ENSMUSG00000104025,ENSMUSG00000104025,E330040D14Rik,RIKEN cDNA E330040D14 gene [Source:MGI Symbol;Acc:MGI:3649088],"ARRAYEXPRESS,ENSG"
ENSMUSG00000025916,ENSMUSG00000025916,Ppp1r42,"protein phosphatase 1, regulatory subunit 42 [Source:MGI Symbol;Acc:MGI:1921138]","ARRAYEXPRESS,ENSG"
ENSMUSG00000087199,ENSMUSG00000087199,Gm15818,predicted gene 15818 [Source:MGI Symbol;Acc:MGI:3801960],"ARRAYEXPRESS,ENSG"
ENSMUSG00000025917,ENSMUSG00000025917,Cops5,COP9 signalosome subunit 5 [Source:MGI Symbol;Acc:MGI:1349415],"ARRAYEXPRESS,ENSG"
ENSMUSG00000056763,ENSMUSG00000056763,Cspp1,centrosome and spindle pole associated protein 1 [Source:MGI Symbol;Acc:MGI:2681832],"ARRAYEXPRESS,ENSG"
ENSMUSG00000102356,ENSMUSG00000102356,1700047N06Rik,RIKEN cDNA 1700047N06 gene [Source:MGI Symbol;Acc:MGI:1923853],"ARRAYEXPRESS,ENSG"
ENSMUSG00000067851,ENSMUSG00000067851,Arfgef1,ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited) [Source:MGI Symbol;Acc:MGI:2442988],"ARRAYEXPRESS,ENSG"
ENSMUSG00002076532,ENSMUSG00002076532,Gm54899,"predicted gene, 54899 [Source:MGI Symbol;Acc:MGI:6846273]","ARRAYEXPRESS,ENSG"
ENSMUSG00000102556,ENSMUSG00000102556,Gm37569,"predicted gene, 37569 [Source:MGI Symbol;Acc:MGI:5610797]","ARRAYEXPRESS,ENSG"
ENSMUSG00000042501,ENSMUSG00000042501,Cpa6,carboxypeptidase A6 [Source:MGI Symbol;Acc:MGI:3045348],"ARRAYEXPRESS,ENSG"
ENSMUSG00000048960,ENSMUSG00000048960,Prex2,"phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2 [Source:MGI Symbol;Acc:MGI:1923385]","ARRAYEXPRESS,ENSG"
ENSMUSG00000101827,ENSMUSG00000101827,Gm28686,predicted gene 28686 [Source:MGI Symbol;Acc:MGI:5579392],"ARRAYEXPRESS,ENSG"
ENSMUSG00000057715,ENSMUSG00000057715,A830018L16Rik,RIKEN cDNA A830018L16 gene [Source:MGI Symbol;Acc:MGI:2444149],"ARRAYEXPRESS,ENSG"
ENSMUSG00000097628,ENSMUSG00000097628,Gm2383,predicted gene 2383 [Source:MGI Symbol;Acc:MGI:3780551],"ARRAYEXPRESS,ENSG"
ENSMUSG00000016918,ENSMUSG00000016918,Sulf1,sulfatase 1 [Source:MGI Symbol;Acc:MGI:2138563],"ARRAYEXPRESS,ENSG"
ENSMUSG00000025938,ENSMUSG00000025938,Slco5a1,"solute carrier organic anion transporter family, member 5A1 [Source:MGI Symbol;Acc:MGI:2443431]","ARRAYEXPRESS,ENSG"
ENSMUSG00000099498,ENSMUSG00000099498,Gm29283,predicted gene 29283 [Source:MGI Symbol;Acc:MGI:5579989],"ARRAYEXPRESS,ENSG"
ENSMUSG00000042414,ENSMUSG00000042414,Prdm14,PR domain containing 14 [Source:MGI Symbol;Acc:MGI:3588194],"ARRAYEXPRESS,ENSG"
ENSMUSG00000005886,ENSMUSG00000005886,Ncoa2,nuclear receptor coactivator 2 [Source:MGI Symbol;Acc:MGI:1276533],"ARRAYEXPRESS,ENSG"
ENSMUSG00000103506,ENSMUSG00000103506,Gm38376,"predicted gene, 38376 [Source:MGI Symbol;Acc:MGI:5611604]","ARRAYEXPRESS,ENSG"
ENSMUSG00000103495,ENSMUSG00000103495,Gm37409,"predicted gene, 37409 [Source:MGI Symbol;Acc:MGI:5610637]","ARRAYEXPRESS,ENSG"
ENSMUSG00000104170,ENSMUSG00000104170,Gm37702,"predicted gene, 37702 [Source:MGI Symbol;Acc:MGI:5610930]","ARRAYEXPRESS,ENSG"
ENSMUSG00000087782,ENSMUSG00000087782,Gm23169,"predicted gene, 23169 [Source:MGI Symbol;Acc:MGI:5452946]","ARRAYEXPRESS,ENSG"
ENSMUSG00000103085,ENSMUSG00000103085,Gm38120,"predicted gene, 38120 [Source:MGI Symbol;Acc:MGI:5611348]","ARRAYEXPRESS,ENSG"
ENSMUSG00000102664,ENSMUSG00000102664,Gm38380,"predicted gene, 38380 [Source:MGI Symbol;Acc:MGI:5611608]","ARRAYEXPRESS,ENSG"
ENSMUSG00000101476,ENSMUSG00000101476,Gm29570,predicted gene 29570 [Source:MGI Symbol;Acc:MGI:5580276],"ARRAYEXPRESS,ENSG"
ENSMUSG00000025935,ENSMUSG00000025935,Tram1,translocating chain-associating membrane protein 1 [Source:MGI Symbol;Acc:MGI:1919515],"ARRAYEXPRESS,ENSG"
ENSMUSG00000025937,ENSMUSG00000025937,Lactb2,"lactamase, beta 2 [Source:MGI Symbol;Acc:MGI:2442551]","ARRAYEXPRESS,ENSG"
ENSMUSG00000102982,ENSMUSG00000102982,Gm38319,"predicted gene, 38319 [Source:MGI Symbol;Acc:MGI:5611547]","ARRAYEXPRESS,ENSG"
ENSMUSG00000067813,ENSMUSG00000067813,Xkr9,X-linked Kx blood group related 9 [Source:MGI Symbol;Acc:MGI:2686466],"ARRAYEXPRESS,ENSG"
ENSMUSG00000097711,ENSMUSG00000097711,Gm5523,predicted pseudogene 5523 [Source:MGI Symbol;Acc:MGI:3649089],"ARRAYEXPRESS,ENSG"
ENSMUSG00000102166,ENSMUSG00000102166,Gm36947,"predicted gene, 36947 [Source:MGI Symbol;Acc:MGI:5610175]","ARRAYEXPRESS,ENSG"
ENSMUSG00000025932,ENSMUSG00000025932,Eya1,EYA transcriptional coactivator and phosphatase 1 [Source:MGI Symbol;Acc:MGI:109344],"ARRAYEXPRESS,ENSG"
ENSMUSG00002075819,ENSMUSG00002075819,Gm55247,"predicted gene, 55247 [Source:MGI Symbol;Acc:MGI:6846966]","ARRAYEXPRESS,ENSG"
ENSMUSG00000102588,ENSMUSG00000102588,Gm37444,"predicted gene, 37444 [Source:MGI Symbol;Acc:MGI:5610672]","ARRAYEXPRESS,ENSG"
ENSMUSG00000054493,ENSMUSG00000054493,Gm9947,predicted gene 9947 [Source:MGI Symbol;Acc:MGI:3642739],"ARRAYEXPRESS,ENSG"
ENSMUSG00000025930,ENSMUSG00000025930,Msc,musculin [Source:MGI Symbol;Acc:MGI:1333884],"ARRAYEXPRESS,ENSG"
ENSMUSG00000103492,ENSMUSG00000103492,Gm37412,"predicted gene, 37412 [Source:MGI Symbol;Acc:MGI:5610640]","ARRAYEXPRESS,ENSG"
ENSMUSG00000081201,ENSMUSG00000081201,Smt3h2-ps4,"SMT3 suppressor of mif two 3 homolog 2, pseudogene 4 (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:2149598]","ARRAYEXPRESS,ENSG"
ENSMUSG00000082193,ENSMUSG00000082193,Rpl5-ps1,"ribosomal protein L5, pseudogene 1 [Source:MGI Symbol;Acc:MGI:3647110]","ARRAYEXPRESS,ENSG"
ENSMUSG00000073737,ENSMUSG00000073737,Gm10566,predicted gene 10566 [Source:MGI Symbol;Acc:MGI:3642220],"ARRAYEXPRESS,ENSG"
ENSMUSG00000092083,ENSMUSG00000092083,Kcnb2,"potassium voltage gated channel, Shab-related subfamily, member 2 [Source:MGI Symbol;Acc:MGI:99632]","ARRAYEXPRESS,ENSG"
ENSMUSG00000025925,ENSMUSG00000025925,Terf1,telomeric repeat binding factor 1 [Source:MGI Symbol;Acc:MGI:109634],"ARRAYEXPRESS,ENSG"
ENSMUSG00000104379,ENSMUSG00000104379,Gm37509,"predicted gene, 37509 [Source:MGI Symbol;Acc:MGI:5610737]","ARRAYEXPRESS,ENSG"
ENSMUSG00000032719,ENSMUSG00000032719,Sbspon,"somatomedin B and thrombospondin, type 1 domain containing [Source:MGI Symbol;Acc:MGI:2684952]","ARRAYEXPRESS,ENSG"
ENSMUSG00000100652,ENSMUSG00000100652,Gm7634,predicted gene 7634 [Source:MGI Symbol;Acc:MGI:3644198],"ARRAYEXPRESS,ENSG"
ENSMUSG00000067795,ENSMUSG00000067795,4930444P10Rik,RIKEN cDNA 4930444P10 gene [Source:MGI Symbol;Acc:MGI:1923049],"ARRAYEXPRESS,ENSG"
ENSMUSG00000043716,ENSMUSG00000043716,Rpl7,ribosomal protein L7 [Source:MGI Symbol;Acc:MGI:98073],"ARRAYEXPRESS,ENSG"
ENSMUSG00000025921,ENSMUSG00000025921,Rdh10,retinol dehydrogenase 10 (all-trans) [Source:MGI Symbol;Acc:MGI:1924238],"ARRAYEXPRESS,ENSG"
ENSMUSG00000100868,ENSMUSG00000100868,Gm28095,predicted gene 28095 [Source:MGI Symbol;Acc:MGI:5578801],"ARRAYEXPRESS,ENSG"
ENSMUSG00000025920,ENSMUSG00000025920,Stau2,staufen double-stranded RNA binding protein 2 [Source:MGI Symbol;Acc:MGI:1352508],"ARRAYEXPRESS,ENSG"
ENSMUSG00000089982,ENSMUSG00000089982,Gm7568,predicted gene 7568 [Source:MGI Symbol;Acc:MGI:3649156],"ARRAYEXPRESS,ENSG"
ENSMUSG00000025939,ENSMUSG00000025939,Ube2w,ubiquitin-conjugating enzyme E2W (putative) [Source:MGI Symbol;Acc:MGI:1914049],"ARRAYEXPRESS,ENSG"
ENSMUSG00000102457,ENSMUSG00000102457,Gm38342,"predicted gene, 38342 [Source:MGI Symbol;Acc:MGI:5611570]","ARRAYEXPRESS,ENSG"
ENSMUSG00000079658,ENSMUSG00000079658,Eloc,elongin C [Source:MGI Symbol;Acc:MGI:1915173],"ARRAYEXPRESS,ENSG"
ENSMUSG00000097744,ENSMUSG00000097744,D030040B21Rik,RIKEN cDNA D030040B21 gene [Source:MGI Symbol;Acc:MGI:4437728],"ARRAYEXPRESS,ENSG"
ENSMUSG00000100959,ENSMUSG00000100959,Idi1-ps5,"isopentenyl-diphosphate delta isomerase, pseudogene 5 [Source:MGI Symbol;Acc:MGI:3648037]","ARRAYEXPRESS,ENSG"
ENSMUSG00000025940,ENSMUSG00000025940,Tmem70,transmembrane protein 70 [Source:MGI Symbol;Acc:MGI:1915068],"ARRAYEXPRESS,ENSG"
ENSMUSG00000025779,ENSMUSG00000025779,Ly96,lymphocyte antigen 96 [Source:MGI Symbol;Acc:MGI:1341909],"ARRAYEXPRESS,ENSG"
ENSMUSG00000091020,ENSMUSG00000091020,Gm5828,predicted gene 5828 [Source:MGI Symbol;Acc:MGI:3644176],"ARRAYEXPRESS,ENSG"
ENSMUSG00000042686,ENSMUSG00000042686,Jph1,junctophilin 1 [Source:MGI Symbol;Acc:MGI:1891495],"ARRAYEXPRESS,ENSG"
ENSMUSG00000025777,ENSMUSG00000025777,Gdap1,ganglioside-induced differentiation-associated-protein 1 [Source:MGI Symbol;Acc:MGI:1338002],"ARRAYEXPRESS,ENSG"
ENSMUSG00000100398,ENSMUSG00000100398,Gm5251,predicted gene 5251 [Source:MGI Symbol;Acc:MGI:3647666],"ARRAYEXPRESS,ENSG"
ENSMUSG00000101589,ENSMUSG00000101589,Rbm6-ps1,"RNA binding motif protein 6, pseudogene 1 [Source:MGI Symbol;Acc:MGI:1889580]","ARRAYEXPRESS,ENSG"
ENSMUSG00000102048,ENSMUSG00000102048,Gm6075,predicted gene 6075 [Source:MGI Symbol;Acc:MGI:3648507],"ARRAYEXPRESS,ENSG"
ENSMUSG00000067780,ENSMUSG00000067780,Pi15,peptidase inhibitor 15 [Source:MGI Symbol;Acc:MGI:1934659],"ARRAYEXPRESS,ENSG"
ENSMUSG00000100053,ENSMUSG00000100053,Gm28154,predicted gene 28154 [Source:MGI Symbol;Acc:MGI:5578860],"ARRAYEXPRESS,ENSG"
ENSMUSG00000025776,ENSMUSG00000025776,Crispld1,cysteine-rich secretory protein LCCL domain containing 1 [Source:MGI Symbol;Acc:MGI:1934666],"ARRAYEXPRESS,ENSG"
ENSMUSG00000100554,ENSMUSG00000100554,Gm7690,predicted gene 7690 [Source:MGI Symbol;Acc:MGI:3648169],"ARRAYEXPRESS,ENSG"
ENSMUSG00000099591,ENSMUSG00000099591,Gm17969,"predicted gene, 17969 [Source:MGI Symbol;Acc:MGI:5010154]","ARRAYEXPRESS,ENSG"
ENSMUSG00000101685,ENSMUSG00000101685,Gm17837,"predicted gene, 17837 [Source:MGI Symbol;Acc:MGI:5010022]","ARRAYEXPRESS,ENSG"
ENSMUSG00000100720,ENSMUSG00000100720,Gm10075,predicted gene 10075 [Source:MGI Symbol;Acc:MGI:3710521],"ARRAYEXPRESS,ENSG"
ENSMUSG00000100204,ENSMUSG00000100204,Gm4849,predicted gene 4849 [Source:MGI Symbol;Acc:MGI:3645366],"ARRAYEXPRESS,ENSG"
ENSMUSG00000043760,ENSMUSG00000043760,Pkhd1,polycystic kidney and hepatic disease 1 [Source:MGI Symbol;Acc:MGI:2155808],"ARRAYEXPRESS,ENSG"
ENSMUSG00000090142,ENSMUSG00000090142,Gm15795,predicted gene 15795 [Source:MGI Symbol;Acc:MGI:3802035],"ARRAYEXPRESS,ENSG"
ENSMUSG00000070175,ENSMUSG00000070175,Gm24162,"predicted gene, 24162 [Source:MGI Symbol;Acc:MGI:5453939]","ARRAYEXPRESS,ENSG"
ENSMUSG00000041859,ENSMUSG00000041859,Mcm3,minichromosome maintenance complex component 3 [Source:MGI Symbol;Acc:MGI:101845],"ARRAYEXPRESS,ENSG"
ENSMUSG00000102121,ENSMUSG00000102121,Gm28065,predicted gene 28065 [Source:MGI Symbol;Acc:MGI:5578771],"ARRAYEXPRESS,ENSG"
ENSMUSG00000097934,ENSMUSG00000097934,6720483E21Rik,RIKEN cDNA 6720483E21 gene [Source:MGI Symbol;Acc:MGI:1924991],"ARRAYEXPRESS,ENSG"
ENSMUSG00000025931,ENSMUSG00000025931,Paqr8,progestin and adipoQ receptor family member VIII [Source:MGI Symbol;Acc:MGI:1921479],"ARRAYEXPRESS,ENSG"
ENSMUSG00000100929,ENSMUSG00000100929,Gm28064,predicted gene 28064 [Source:MGI Symbol;Acc:MGI:5578770],"ARRAYEXPRESS,ENSG"
ENSMUSG00000041809,ENSMUSG00000041809,Efhc1,EF-hand domain (C-terminal) containing 1 [Source:MGI Symbol;Acc:MGI:1919127],"ARRAYEXPRESS,ENSG"
ENSMUSG00000041779,ENSMUSG00000041779,Tram2,translocating chain-associating membrane protein 2 [Source:MGI Symbol;Acc:MGI:1924817],"ARRAYEXPRESS,ENSG"
ENSMUSG00000100819,ENSMUSG00000100819,Gm2693,predicted gene 2693 [Source:MGI Symbol;Acc:MGI:3780862],"ARRAYEXPRESS,ENSG"
ENSMUSG00000025933,ENSMUSG00000025933,Tmem14a,transmembrane protein 14A [Source:MGI Symbol;Acc:MGI:1922962],"ARRAYEXPRESS,ENSG"
ENSMUSG00000025934,ENSMUSG00000025934,Gsta3,"glutathione S-transferase, alpha 3 [Source:MGI Symbol;Acc:MGI:95856]","ARRAYEXPRESS,ENSG"
ENSMUSG00000099343,ENSMUSG00000099343,Gm28836,predicted gene 28836 [Source:MGI Symbol;Acc:MGI:5579542],"ARRAYEXPRESS,ENSG"
ENSMUSG00000096375,ENSMUSG00000096375,Gm7094,predicted pseudogene 7094 [Source:MGI Symbol;Acc:MGI:3648114],"ARRAYEXPRESS,ENSG"
ENSMUSG00000085079,ENSMUSG00000085079,Khdc1b,KH domain containing 1B [Source:MGI Symbol;Acc:MGI:2138477],"ARRAYEXPRESS,ENSG"
ENSMUSG00000028033,ENSMUSG00000028033,Kcnq5,"potassium voltage-gated channel, subfamily Q, member 5 [Source:MGI Symbol;Acc:MGI:1924937]","ARRAYEXPRESS,ENSG"
ENSMUSG00000082935,ENSMUSG00000082935,Gm7658,predicted gene 7658 [Source:MGI Symbol;Acc:MGI:3648029],"ARRAYEXPRESS,ENSG"
ENSMUSG00000041670,ENSMUSG00000041670,Rims1,regulating synaptic membrane exocytosis 1 [Source:MGI Symbol;Acc:MGI:2152971],"ARRAYEXPRESS,ENSG"
ENSMUSG00000101468,ENSMUSG00000101468,Gm7761,predicted gene 7761 [Source:MGI Symbol;Acc:MGI:3643583],"ARRAYEXPRESS,ENSG"
ENSMUSG00000101227,ENSMUSG00000101227,Gm29506,predicted gene 29506 [Source:MGI Symbol;Acc:MGI:5580212],"ARRAYEXPRESS,ENSG"
ENSMUSG00000073730,ENSMUSG00000073730,Ppp1r14bl,"protein phosphatase 1, regulatory inhibitor subunit 14B like [Source:MGI Symbol;Acc:MGI:1914005]","ARRAYEXPRESS,ENSG"
ENSMUSG00000102766,ENSMUSG00000102766,Gm6420,predicted gene 6420 [Source:MGI Symbol;Acc:MGI:3644588],"ARRAYEXPRESS,ENSG"
ENSMUSG00000097970,ENSMUSG00000097970,Gm27028,"predicted gene, 27028 [Source:MGI Symbol;Acc:MGI:5504143]","ARRAYEXPRESS,ENSG"
ENSMUSG00000100775,ENSMUSG00000100775,Gm29107,predicted gene 29107 [Source:MGI Symbol;Acc:MGI:5579813],"ARRAYEXPRESS,ENSG"
ENSMUSG00000026158,ENSMUSG00000026158,Ogfrl1,opioid growth factor receptor-like 1 [Source:MGI Symbol;Acc:MGI:1917405],"ARRAYEXPRESS,ENSG"
ENSMUSG00000097920,ENSMUSG00000097920,Gm7784,predicted gene 7784 [Source:MGI Symbol;Acc:MGI:3645448],"ARRAYEXPRESS,ENSG"
ENSMUSG00000026156,ENSMUSG00000026156,B3gat2,"beta-1,3-glucuronyltransferase 2 (glucuronosyltransferase S) [Source:MGI Symbol;Acc:MGI:2389490]","ARRAYEXPRESS,ENSG"
ENSMUSG00000026155,ENSMUSG00000026155,Smap1,small ArfGAP 1 [Source:MGI Symbol;Acc:MGI:2138261],"ARRAYEXPRESS,ENSG"
ENSMUSG00000026154,ENSMUSG00000026154,Sdhaf4,succinate dehydrogenase complex assembly factor 4 [Source:MGI Symbol;Acc:MGI:1915252],"ARRAYEXPRESS,ENSG"
ENSMUSG00000102495,ENSMUSG00000102495,Gm26524,"predicted gene, 26524 [Source:MGI Symbol;Acc:MGI:5477018]","ARRAYEXPRESS,ENSG"
ENSMUSG00000026153,ENSMUSG00000026153,Fam135a,"family with sequence similarity 135, member A [Source:MGI Symbol;Acc:MGI:1915437]","ARRAYEXPRESS,ENSG"
ENSMUSG00000102398,ENSMUSG00000102398,Gm37580,"predicted gene, 37580 [Source:MGI Symbol;Acc:MGI:5610808]","ARRAYEXPRESS,ENSG"
ENSMUSG00000026147,ENSMUSG00000026147,Col9a1,"collagen, type IX, alpha 1 [Source:MGI Symbol;Acc:MGI:88465]","ARRAYEXPRESS,ENSG"
